_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4927843,3349,TR-05303,,,Birchmount Rd,West,Carncastle Gt,North,T389,22.0,,T,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2963798539, 43.7771028267)}"
4927844,3350,TR-05304,,,Birchmount Rd,East,Cass Ave,South,T390,22.0,,T,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2969032062, 43.7788618728)}"
4927845,3351,TR-05305,,,Warden Ave,East,St Clair Ave E,South,T11982,20.0,,LC,Existing,Provincial,TS13372,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2805930358, 43.7115282957)}"
4927846,3352,TR-05306,749,Warden Ave,Warden Ave,East,Upton Rd,South,T8613,20.0,,RN1,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2834517409, 43.7180972384)}"
4927847,3353,TR-05308,1045,Warden Ave,Warden Ave,East,Castille Ave,South,T8547,21.0,,RN1,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2926012422, 43.7404084801)}"
4927848,3354,TR-05309,92,Frey Cres,Warden Ave,East,Frey Cres,South,T14187,21.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2938381446, 43.743422965)}"
4927849,3355,TR-05312,,,Warden Ave,East,Lupin Dr,North,T8584,21.0,,LK,Existing,Provincial,TS13365,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3021077059, 43.7658100946)}"
4927850,3356,TR-05314,,,Birchmount Rd,East,Brookmill Blvd,South,T9788,22.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3084646043, 43.8030158515)}"
4927851,3357,TR-05315,163,Dundas St E,Dundas St E,South,Jarvis St,West,T2118,13.0,,LK,Existing,Provincial,0TS13610,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3748868612, 43.6569108057)}"
4927852,3358,TR-05316,5476,Dundas St W,Dundas St W,North,Paulart Dr,East,T2178,3.0,,LC,Existing,Provincial,0TS13766,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.546637688, 43.6313537107)}"
4927853,3360,TR-05318,5001,Steeles Ave W,Weston Rd,West,Steeles Ave W,South,T10700,7.0,Emery Village,LC,Existing,Provincial,TS13333,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5465299256, 43.7697300107)}"
4927854,3361,TR-05321,,,Weston Rd,East,Ormont Dr,South,T8753,7.0,Emery Village,LC,Existing,Provincial,TS13327,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5451167549, 43.7646547688)}"
4927855,3362,TR-05322,130,Queen St W,Queen St W,North,University Ave,East,T6859,10.0,,A,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3859572693, 43.651056392)}"
4927856,3363,TR-05323,4100,Weston Rd,Weston Rd,West,Ormont Dr,North,T10702,7.0,Emery Village,LC,Existing,Provincial,TS13337,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5455400505, 43.7650712386)}"
4927857,3364,TR-05324,,,Weston Rd,West,Ormont Dr,South,T8702,7.0,Emery Village,LK,Existing,Provincial,TS13339,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5450552241, 43.7630972106)}"
4927858,3365,TR-05325,3689,Weston Rd,Weston Rd,East,Ormont Dr,South,T8701,7.0,Emery Village,LC,Existing,Provincial,TS13325,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5447602369, 43.7628913074)}"
4927859,3366,TR-05328,3615,Weston Rd,Weston Rd,East,Fenmar Dr,North,T8720,7.0,Emery Village,LC,Existing,Provincial,TS13321,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5437165602, 43.7581226304)}"
4927860,3370,TR-05335,3266,Weston Rd,Weston Rd,West,Coronado Crt,North,T8710,7.0,Emery Village,KF2,Existing,Provincial,TS13345P,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5399485646, 43.740399935)}"
4927861,3371,TR-05338,2549,Weston Rd,Weston Rd,East,Cardell Ave,South,T14262,5.0,,KF2,Existing,Provincial,TS13311P,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5342658964, 43.7095006015)}"
4927862,3372,TR-05339,2549,Weston Rd,Weston Rd,East,Dee Ave,South,T7445,5.0,,LC,Existing,Provincial,TS13313P,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5347364897, 43.710797911)}"
4927863,3373,TR-05340,1325,York Mills Rd,York Mills Rd,South,Rayoak Dr,West,T9081,16.0,,LC,Existing,Provincial,TS13357,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3215735158, 43.7620484489)}"
4927864,3374,TR-05342,2775,St Clair Ave E,Rexleigh Dr,East,St Clair Ave E,South,T3094,19.0,,LKN,Existing,Provincial,S3103094,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3069960512, 43.7064909225)}"
4927865,3375,TR-05345,1197,Ellesmere Rd,Ellesmere Rd,South,Oakley Blvd,East,T7706,21.0,,LK,Existing,Provincial,TS13493,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2683926008, 43.7684093755)}"
4927866,3376,TR-05346,118,Packard Blvd,Ellesmere Rd,South,Packard Blvd,West,T7709,21.0,,RN1,Existing,Provincial,S3807709,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2578362072, 43.7706965575)}"
4927867,3377,TR-05347,2,Mirrow Crt,Ellesmere Rd,South,Mirrow Crt,West,T10904,25.0,,RN1,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.1852133175, 43.7872893545)}"
4927868,3378,TR-05348,3351,Ellesmere Rd,Ellesmere Rd,South,Conlins Rd,West,T9468,25.0,,RN2,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.1835406509, 43.7876925769)}"
4927869,3388,SH-02261,1,Talgarth Rd,The East Mall,East,Talgarth Rd,South,T2219,2.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5704146433, 43.6624507646)}"
4927870,3391,SH-00028,2740,Lawrence Ave E,Lawrence Ave E,North,Marcos Blvd,West,T5315,21.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2592870774, 43.7528934129)}"
4927871,3392,SH-01202,741,Sheppard Ave W,Sheppard Ave W,South,Harlock Blvd,East,T7284,6.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4459631205, 43.7538138911)}"
4927872,3394,SH-03753,35,Candy Courtway,Bathurst St,East,Cedarcroft Blvd,North,,18.0,,Standard Daytech,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4454019715, 43.7842208399)}"
4927873,3419,SH-01625,2,Sandhurst Crcl,Finch Ave E,South,Sandhurst Crcl,West,T2547,23.0,,C,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2705648521, 43.8070064278)}"
4927874,3425,SH-01936,1819,Yonge St,Yonge St,East,Merton St,North,T10797,12.0,Midtown Yonge,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3961141757, 43.6964831069)}"
4927875,3426,SH-03598,2550,Pharmacy Ave,Finch Ave E,South,Pharmacy Ave,West,T2538,22.0,,D,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3264439585, 43.7940999883)}"
4927876,3427,SH-02243,39,Wayside Ave,Kennedy Rd,West,Finch Ave E,North,T4082,22.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.297093554, 43.8014458047)}"
4927877,3430,SH-03282,1106,Avenue Rd,Avenue Rd,West,Kelway Blvd,North,T4793,8.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4103488751, 43.7080775439)}"
4927878,3443,SH-00061,1520,The Queensway,,,Algie Ave,,,3.0,,Standard Daytech,Existing,Daytech,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.536927536, 43.6188449429)}"
4927879,3445,SH-03345,50,Queen St W,Queen St W,North,Bay St,West,T260,13.0,,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3822228697, 43.6518856633)}"
4927880,3446,SH-02562,401,The West Mall,Burnhamthorpe Cres,North,The West Mall,East,T698,2.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5669992711, 43.6448013745)}"
4927881,3455,SH-02164,5109,Sheppard Ave E,Sheppard Ave E,South,Markham Rd,West,T7206,23.0,Sheppard East Village,D,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2393679896, 43.7936043557)}"
4927882,3456,SH-01156,1X,Allenby Ave,Islington Ave,East,Allenby Ave,South,T3755,1.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5530622483, 43.7112675529)}"
4927883,3457,TR-04083,85,The East Mall,North Queen St,South,The East Mall,East,T14320,3.0,,RN1,Existing,Provincial,S0514320,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5488474863, 43.6204948403)}"
4927884,3458,TR-04085,87,Island Rd,Island Rd,South,East Ave,West,T6470,25.0,,LCN,Existing,Provincial,S4406470,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.1392715998, 43.7979332209)}"
4927885,3459,TR-04086,4052,Ellesmere Rd,Ellesmere Rd,North,Muirbank Blvd,East,T10522,25.0,,LCN,Existing,Provincial,S4410522,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.157647562, 43.7939909576)}"
4927886,3460,TR-04089,256,Braymore Blvd,Meadowvale Rd,West,Rotary Dr,North,T6579,25.0,,LCN,Existing,Provincial,S4406579,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.1701748097, 43.8068477546)}"
4927887,3461,TR-04090,158,Euclid Ave,Meadowvale Rd,West,Euclid Ave,North,T6568,25.0,,LCN,Existing,Provincial,S4406568,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.165242253, 43.7961427882)}"
4927888,3462,TR-04094,2161,Midland Ave,Midland Ave,East,Progress Ave,South,T5733,21.0,,LCN,Existing,Provincial,S3705733,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2727497915, 43.7728374613)}"
4927889,3463,TR-04095,110,Progress Ave,Midland Ave,West,Progress Ave,North,T5734,21.0,,LCN,Existing,Provincial,S3705734,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2732464616, 43.7730553938)}"
4927890,3465,TR-04097,297,The East Mall,The East Mall,East,Bloor St W,South,T2201,3.0,,LCN,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5563059454, 43.6366943181)}"
4927891,3466,TR-04098,210,The West Mall,The West Mall,West,West Mall Cres,North,T8660,2.0,,LKN,Existing,Provincial,S0308660,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5594340703, 43.6297481186)}"
4927892,3467,TR-04102,885,Progress Ave,Progress Ave,South,Estate Dr,West,T4547,24.0,,LKN,Existing,Provincial,S3804547,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2354743824, 43.7813478827)}"
4927893,3468,TR-04103,75,The East Mall,The East Mall,East,North Queen St,South,T5045,3.0,,LKN,Existing,Provincial,S0505045,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5479721361, 43.6187742044)}"
4927894,3469,TR-04104,1224,Broadview Ave,Broadview Ave,West,Torrens Ave,South,T663,14.0,,RN2,Existing,Provincial,S2900663,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3551766592, 43.6900686898)}"
4927895,3470,TR-04106,28,Rosebank Dr,Progress Ave,West,Rosebank Dr,North,T12056,23.0,,LKN,Existing,Provincial,S4212056,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2342418458, 43.7924967712)}"
4927896,3471,TR-04107,12,Thorncliffe Park Dr,Thorncliffe Park Dr,East,Overlea Blvd,South,T8348,15.0,,LKN,Existing,Provincial,S2608348,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3488633457, 43.7045731635)}"
4927897,3472,TR-04108,868,Progress Ave,Progress Ave,North,Estate Dr,East,T6006,24.0,,LCN,Existing,Provincial,S3806006,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2377329871, 43.7810468057)}"
4927898,3473,TR-04109,1000,Queen St W,Queen St W,North,Ossington Ave,East,T6847,10.0,West Queen West,RN1,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4185563441, 43.6443134564)}"
4927899,3474,TR-04111,2200,Lake Shore Blvd W,Lake Shore Blvd W,Centre North,Park Lawn Rd,West,T5196B,3.0,,Q10-SA,Existing,Provincial,TS12368M,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.481437673, 43.6227786317)}"
4927900,3476,SH-03137,2062X,Islington Ave,Islington Ave,West,Kingsview Blvd,North,T3807,1.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5482041876, 43.6999791191)}"
4927901,3477,TR-04121,205,Lesmill Rd,Duncan Mill Rd,North,Lesmill Rd,East,T9663,16.0,,LKN,Existing,Provincial,S3409663,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3581584982, 43.7608604498)}"
4927902,3478,TR-04183,115,Antibes Dr,Antibes Dr,South,Torresdale Ave,East,T9283,6.0,,LKN,Existing,Provincial,S1009283,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4470195303, 43.7795573566)}"
4927903,3479,TR-04186,,,William R Allen Rd,West,Rimrock Rd,North,T14835,6.0,DuKe Heights,LCN,Existing,Provincial,S0814835,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4651658679, 43.7579709252)}"
4927904,3480,TR-04195,,,Midland Ave,East,Goodland Gt,South,T5705,23.0,,LKN,Existing,Provincial,S4105705,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.275267062, 43.7787907652)}"
4927905,3481,TR-04223,755,Oakdale Rd,Oakdale Rd,East,Finch Ave W,South,T5894,7.0,,LKN,Temporarily Removed,Provincial,S0705894,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5260803946, 43.7531023331)}"
4927906,3482,TR-04160,11,Bathurst St,Bathurst St,Centre East,Queens Quay W,North,T13368A,10.0,The Waterfront,Q10-SA,Existing,Provincial,TS12692R,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3987820014, 43.6359889733)}"
4927907,3483,TR-04201,,,Progress Ave,North,Schick Crt,West,T4541,21.0,,S,Existing,Provincial,S3704541,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2668888407, 43.7744439859)}"
4927908,3484,TR-04190,695,Sheppard Ave W,Sheppard Ave W,South,Yeomans Rd,West,T7304,6.0,,LC,Existing,Provincial,0TS12840,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4434577934, 43.7543756321)}"
4927909,3485,TR-04216,621,Ellesmere Rd,Ellesmere Rd,South,Birchmount Rd,West,T7678,21.0,,LK,Existing,Provincial,00TS9838,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.291661042, 43.7632046721)}"
4927910,3486,TR-04202,,,Brimorton Dr,South,Orton Park Rd,West,T11100,24.0,,RN2,Existing,Provincial,S4311100,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2089454113, 43.7713643717)}"
4927911,3487,TR-04131,2,Bushey Ave,Weston Rd,West,Bushey Ave,North,T8700,5.0,,LC,Existing,Provincial,00TS7048,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4834070569, 43.683870827)}"
4927912,3488,TR-04206,35,Mcnicoll Ave,Mcnicoll Ave,South,Myers Lane,West,T2897,17.0,,LCN,Existing,Provincial,S2402897,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3682518603, 43.8028588553)}"
4927913,3489,TR-04225,541,Birchmount Rd,Birchmount Rd,East,Zenith Dr,North,T7561,20.0,,LCN,Existing,Provincial,S3507561,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2697578979, 43.7112809445)}"
4927914,3490,TR-04174,600,Sewell's Rd,Morningview Trl,West,Sewell's Rd,North,T13326,25.0,,LKN,Existing,Provincial,S4213326,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2010190301, 43.8199944053)}"
4927915,3491,TR-04198,3604,Dufferin St,Dufferin St,West,Anthony Rd,North,T2107,6.0,,RN2,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4587938507, 43.7311977601)}"
4927916,3492,TR-04207,550,Sheppard Ave E,Sheppard Ave E,North,Bayview Ave,East,T7151,17.0,,LC,Existing,Provincial,0TS12782,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3876361593, 43.7669557506)}"
4927917,3493,TR-04123,905,Scarlett Rd,Lawrence Ave W,North,Scarlett Rd,East,T5406,2.0,,LCN,Existing,Provincial,S0205406,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.523045786, 43.6983213893)}"
4927918,3494,TR-04192,,,The Queensway,North,South Kingsway,East,T15146,4.0,,LC,Existing,Provincial,0TS13790,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.472890411, 43.6362839214)}"
4927919,3495,TR-04200,,,Bushby Dr,North,Mccowan Rd,East,T9609,24.0,,LKN,Existing,Provincial,S3809609,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.251990258, 43.7747469493)}"
4927920,3496,TR-04181,,,William R Allen Rd,East,Rimrock Rd,South,T14834,6.0,DuKe Heights,VS,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4647812334, 43.7575497046)}"
4927921,3497,TR-04203,226,Morningside Ave,Morningside Ave,West,Ling Rd,North,T14612,24.0,,LCN,Existing,Provincial,S4314612,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.1858376357, 43.7667160249)}"
4927922,3498,TR-04178,,,Burnhamthorpe Rd,North,The East Mall,East,T674,2.0,,RN1,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5596171869, 43.6464661522)}"
4927923,3499,TR-04184,2173,Kipling Ave,Kipling Ave,East,Snaresbrook Dr,South,T4373,1.0,,RN2,Existing,Provincial,S0204373,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5712970665, 43.721633499)}"
4927924,3500,TR-04129,721,Royal York Rd,Royal York Rd,East,Coney Rd,North,T6983,3.0,,LC,Existing,Provincial,00TS3440,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5058924194, 43.6345735253)}"
4927925,3501,TR-04175,2851,Morningside Ave,Morningside Ave,East,Oasis Blvd,South,T14104,23.0,,LKN,Existing,Provincial,S4214104,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2328779541, 43.8265470509)}"
4927926,3503,TR-04170,632,Brimley Rd,Brimley Rd,West,Gully Dr,South,T632,21.0,,LKN,Existing,Provincial,S3700632,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2513029959, 43.7435054282)}"
4927927,3504,TR-04161,11,Bathurst St,Bathurst St,Centre East,Queens Quay W,North,T13368B,10.0,The Waterfront,Q10-SA,Existing,Provincial,TS12690M,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.39867497, 43.6359448797)}"
4927928,3505,TR-04193,2683,Lawrence Ave E,Lawrence Ave E,South,Brockley Dr,East,T9930,21.0,,LKN,Existing,Provincial,S3709930,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2614773971, 43.7521489432)}"
4927929,3506,TR-04159,410,Queens Quay W,Lower Spadina Ave,Centre East,Queens Quay W,North,T12085C,10.0,,Q10-SA,Existing,Provincial,TS12682L,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3919832697, 43.6381156828)}"
4927930,3507,TR-04165,,,College St,Centre North,Spadina Ave,East,T844C,11.0,,Q10-SA,Existing,Provincial,TS12694L,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3994178975, 43.6580568332)}"
4927931,3508,TR-04197,,,Midland Ave,East,Finch Ave E,South,T5702,23.0,,LC,Existing,Provincial,0TS12786,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.28604398, 43.8036075696)}"
4927932,3509,TR-04191,986,Wilson Ave,Wilson Ave,North,Dubray Ave,East,T8843,6.0,Wilson Village,LC,Existing,Provincial,0TS12776,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4756705419, 43.7287616702)}"
4927933,3510,TR-04176,,,Evans Ave,South,Gamma St,West,T2443,3.0,,RN2,Existing,Provincial,S0602443,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5411480327, 43.6123663707)}"
4927934,3511,TR-04224,,,Leslie St,East,Lawrence Ave E,North,T5453,16.0,,LC,Existing,Provincial,0TS12844,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3558934218, 43.734988223)}"
4927935,3512,TR-04137,1,Rosemount Dr,Eglinton Ave E,North,Rosemount Dr,East,T2307,21.0,,U,Temporarily Removed,Provincial,00TS9680,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2737728684, 43.7310360661)}"
4927936,3513,TR-04162,11,Bathurst St,Bathurst St,Centre East,Queens Quay W,North,T13368C,10.0,The Waterfront,Q10-SA,Existing,Provincial,TS12688L,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3988345188, 43.6360150428)}"
4927937,3514,TR-04179,500,Sandhurst Crcl,Mccowan Rd,East,Sandhurst Crcl,South,T1315,23.0,,LKN,Existing,Provincial,S4101315,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2650234177, 43.8049014204)}"
4927938,3515,TR-04163,,,College St,Centre North,Spadina Ave,East,T844A,11.0,,Q10-SA,Existing,Provincial,TS12698R,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3996193028, 43.6580135607)}"
4927939,3516,TR-04215,185,North Queen St,North Queen St,East,Nova Rd,South,T13670,3.0,,LCN,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5567162395, 43.6159620208)}"
4927940,3517,TR-04226,,,Caledonia Rd,East,Bowie Ave,North,T703,8.0,,LCN,Existing,Provincial,S1500703,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4627981791, 43.6952056435)}"
4927941,3518,TR-04211,1610,Keele St,Keele St,West,Rogers Rd,North,T14867,5.0,Rogers Road,LC,Existing,Provincial,0TS12920,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4717731583, 43.682286296)}"
4927942,3519,TR-04173,,,The Queensway,North,Park Lawn Rd,East,T6907,3.0,shoptheQueensway.com,LC,Existing,Provincial,0TS12820,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4900816516, 43.6292383028)}"
4927943,3520,TR-04136,2200,Eglinton Ave E,Eglinton Ave E,North,Thermos Rd,East,T2315,21.0,,Q,Temporarily Removed,Provincial,0TS9724P,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2810937411, 43.729469669)}"
4927944,3521,TR-04221,3025,Lake Shore Blvd W,Lake Shore Blvd W,South,Tenth St,West,T5150,3.0,Lakeshore Village,LKN,Existing,Provincial,S0605150,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5087705317, 43.599904891)}"
4927945,3522,TR-04145,720,College St,College St,North,Crawford St,East,T823,11.0,Little Italy,DIG-RE,Existing,Provincial,DST0007A,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4188428908, 43.6552474974)}"
4927946,3525,TR-05194,2061,McCowan Rd,McCowan Rd,East,Commander Blvd,South,T1286,23.0,,LK,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2610745675, 43.7954289866)}"
4927947,3526,TR-05199,3447,Kennedy Rd,Kennedy Rd,East,Steeles Ave E,South,T10037,22.0,,LC,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3057142771, 43.8210474584)}"
4927948,3527,TR-05200,3251,Kennedy Rd,Kennedy Rd,East,Passmore Ave,South,T4067,22.0,,LCN,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3038475443, 43.816778634)}"
4927949,3528,TR-05201,3223,Kennedy Rd,Kennedy Rd,East,McNicoll Ave,North,T14421,22.0,,LCN,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.303044819, 43.8149817956)}"
4927950,3529,TR-05202,3039,Kennedy Rd,Kennedy Rd,East,Perthshire St,South,T10600,22.0,,LK,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3002155176, 43.8087054828)}"
4927951,3530,TR-05205,879,Kennedy Rd,Kennedy Rd,East,Ranstone Gdns,South,T4068,21.0,,LC,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2709553536, 43.7398718977)}"
4927952,3531,TR-05206,929,Kennedy Rd,Kennedy Rd,East,Ranstone Gdns,South,T4117,21.0,,T,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2718720036, 43.7420491985)}"
4927953,3532,TR-05207,,,McCowan Rd,East,Brimorton Dr,South,T5674,24.0,,LK,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.248090967, 43.7635504898)}"
4927954,3533,TR-05208,950,McCowan Rd,McCowan Rd,West,Meldazy Dr,North,T5676,21.0,,LKN,Existing,Provincial,S3805676,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.247778503, 43.7621059665)}"
4927955,3534,TR-05212,,,McCowan Rd,East,Bellechasse St,North,T5660,24.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2471904651, 43.7612878281)}"
4927956,3536,TR-05214,162,Bloor St W,Avenue Rd,East,Cumberland St,South,T47,11.0,Bloor-Yorkville,LK,Existing,Provincial,TS13275,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.394214629, 43.6691910243)}"
4927957,3538,TR-05006,461,Cherry St,Cherry St,East,Front St E,North,T15461,13.0,,Q10-SA,Existing,Provincial,0TS13008,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3581410069, 43.6529596135)}"
4927958,3539,TR-04492,281,Queens Quay W,Queens Quay W,Centre South,Rees St,West,T15331C,10.0,The Waterfront,Q10-SA,Existing,Provincial,TS12580L,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3870458628, 43.6387036068)}"
4927959,3540,TR-04490,318,Queens Quay W,Queens Quay W,Centre North,Rees St,West,T6864B,10.0,The Waterfront,Q10-SA,Existing,Provincial,TS12576M,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3869970525, 43.6387973169)}"
