_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4929486,5993,TR-06072,,,Rexdale Blvd,North,Tidemore Ave,East,T6949,1.0,,LCN,Existing,Provincial,S0206949,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5853785464, 43.7149694196)}"
4929487,5994,TR-06017,635,The Queensway,The Queensway,South,Milton St,West,T6902,3.0,shoptheQueensway.com,LC,Temporarily Removed,Provincial,0TS13700,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4972513305, 43.6274297254)}"
4929488,5995,TR-06118,,,Thistle Down Blvd,South,Albion Ave,East,T11566,1.0,,RN1,Existing,Provincial,S0111566,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.560834888, 43.735767573)}"
4929489,5996,TR-06002,24,Hobart Dr,Van Horne Ave,South,Hobart Dr,West,T7387,17.0,,RN2,Existing,Provincial,S3307387,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3499410965, 43.7879395264)}"
4929490,5998,TR-06042,2,Ivy Bush Ave,Birchmount Rd,East,Ivy Bush Ave,North,T427,22.0,,LKN,Existing,Provincial,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3120876419, 43.8110021164)}"
4929491,5999,TR-06005,155,Consumers Rd,Yorkland Blvd,South,Consumers Rd,West,T9517,17.0,,LCN,Existing,Provincial,S3309517,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.33262728, 43.7736294464)}"
4929492,6000,TR-06061,,,Parkside Dr,East,Howard Park Ave,South,T11777,4.0,,RN1,Temporarily Removed,Provincial,S1411777,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.457636951, 43.6485759372)}"
4929493,6001,TR-06024,347,Cummer Ave,Cummer Ave,South,Maxome Ave,West,T1812,18.0,,RN2,Existing,Provincial,S2401812,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4018998807, 43.7903477167)}"
4929494,6002,TR-06122,,,Torbarrie Rd,West,Joseph Griffith Lane,South,T14524,7.0,,RN1,Existing,Provincial,S0714524,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5233278969, 43.7253905726)}"
4929495,6003,TR-06048,,,Brimley Rd,East,Grittani Lane,South,T10144,23.0,,LKN,Existing,Provincial,S4110144,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2651477463, 43.7806667108)}"
4929496,6004,TR-06065,,,Brimley Rd,West,Alexmuir Blvd,South,T14440,23.0,,LCN,Existing,Provincial,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2789247668, 43.8089355682)}"
4929497,6006,TR-06101,33,Waterbury Dr,Waterbury Dr,East,Clarion Rd,South,T6157,1.0,,RN1,Existing,Provincial,S0406157,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5711414353, 43.6850093879)}"
4929498,6007,TR-06000,1,Lucifer Dr,Van Horne Ave,North,Lucifer Dr,East,T7394,17.0,,LCN,Existing,Provincial,S3307394,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3374496775, 43.7875742702)}"
